plant_name_id,ipni_id,taxon,genus,species,family,prediction,predicted_threat,prediction_binomial,accuracy_binomial,category,observed_threat,threat_binomial,confidence,mean_alt,total_flor_regions,mean_eoo,mean_aoo,pa_binomial,protected,II,IV,VI,trop_subtrop_moist_broad,trop_subtrop_grass_sav_shrub,desert_xeric,flooded_grass,montane_grass,hfp_delta_class1,hfp_delta_class2,hfp_delta_class3,hfp_delta_class4,hfp_delta_class5,hfp_2009_class1,hfp_2009_class2,hfp_2009_class3,hfp_2009_class4,hfp_2009_class5,hfp_2009_class6,hfp_2009_class7,hfp_2009_class8,hfp_2009_class9,hfp_2009_class10,hfp_quant_1to3,hfp_quant_1to4,sqrt_eoo,sqrt_aoo,sqrt_desert,new_pred,threatened,.lower,.upper
507589-wcs,931015-1,Kanahia carlsbergiana,Kanahia,carlsbergiana,Apocynaceae,correct,T,0,1,EN,T,1,confident,1600,2,2342,16,1,present,present,absent,absent,0.132257919,0.61431789,0,0,0.253424191,0.009057626,0.032870754,0.643961036,0.247724119,0.066386464,0,0,0.114406572,0.197723742,0.216520221,0.180237021,0.137165847,0.097230619,0.049690359,0.007025619,0.114406572,0.312130314,48.39421453,4,0,threatened,0.718275489,0.649427692,0.783091366
1083688-az,320659-2,Kleinia isabellae,Kleinia,isabellae,Asteraceae,correct,T,0,1,CR,T,1,confident,400,1,4,4,0,absent,absent,absent,absent,0.118248011,0.838664406,0,0,0.043087583,0.00330245,0.009777301,0.739146975,0.218924185,0.028849089,0,0,0.006552016,0.259265669,0.258162185,0.213796194,0.164093624,0.07593019,0.018611192,0.003588931,0.006552016,0.265817684,2,2,0,threatened,0.741528696,0.684678701,0.792313375
1083732-az,70028619-1,Kleinia ogadensis,Kleinia,ogadensis,Asteraceae,correct,T,0,1,EN,T,1,confident,1155.5,1,26.5,8,0,absent,absent,absent,absent,0.118248011,0.838664406,0,0,0.043087583,0.00330245,0.009777301,0.739146975,0.218924185,0.028849089,0,0,0.006552016,0.259265669,0.258162185,0.213796194,0.164093624,0.07593019,0.018611192,0.003588931,0.006552016,0.265817684,5.14781507,2.828427125,0,threatened,0.741528696,0.684678701,0.792313375
279639-wcs,537025-1,Kniphofia foliosa,Kniphofia,foliosa,Asphodelaceae,correct,NT,0,1,LC,NT,0,confident,3200,9,255227,216,1,present,present,absent,absent,0.226702995,0.512214017,0.000382484,0,0.260700503,0.018781837,0.054271812,0.500333973,0.291250981,0.135361398,0,1.46E-09,0.041357903,0.149872673,0.161524095,0.186416292,0.165147034,0.189215668,0.088540416,0.017925917,0.041357905,0.191230578,505.1999604,14.69693846,0.019557194,not_threatened,0.290672809,0.221819909,0.353454627
279648-wcs,537031-1,Kniphofia hildebrandtii,Kniphofia,hildebrandtii,Asphodelaceae,correct,T,0,1,EN,T,1,confident,2225,1,407,16,1,present,absent,absent,absent,0.29462982,0.097515346,0,0,0.607854834,0.027424948,0.090088648,0.207448975,0.327100758,0.347936671,0,0,8.26E-06,0.000371258,0.007121961,0.060471889,0.115582568,0.368127392,0.342553156,0.105763521,8.26E-06,0.000379513,20.174241,4,0,threatened,0.63246271,0.555089009,0.714581836
279729-wcs,537037-1,Kniphofia insignis,Kniphofia,insignis,Asphodelaceae,under,NT,1,0,VU,T,1,low_confidence,2650,4,83280,36,0,absent,absent,absent,absent,0.200775394,0.544483889,0,0,0.254740716,0.009925673,0.036810272,0.520411874,0.275482665,0.157369517,0,2.81E-09,0.014655732,0.166340416,0.167313878,0.161626159,0.146947607,0.186655221,0.125841106,0.030619878,0.014655735,0.180996151,288.5827438,6,0,under,0.384801944,0.325266656,0.46122847
279728-wcs,537038-1,Kniphofia isoetifolia,Kniphofia,isoetifolia,Asphodelaceae,correct,NT,0,1,LC,NT,0,confident,2850,8,388285,120,1,present,present,absent,absent,0.227747403,0.448163834,0.004522922,0.001286878,0.318278963,0.028498222,0.078241723,0.478345868,0.266126369,0.148787819,0.001443694,0.007250362,0.072932893,0.131973759,0.14252537,0.17797234,0.145838225,0.194507637,0.1014136,0.024142121,0.081626949,0.213600708,623.1251881,10.95445115,0.067252675,not_threatened,0.290672809,0.221819909,0.353454627
106269-wcs,754746-1,Kohautia platyphylla,Kohautia,platyphylla,Rubiaceae,correct,NT,0,1,LC,NT,0,low_confidence,2150,6,108554,104,1,present,present,absent,absent,0.255196436,0.406159316,0.013194044,0.002076632,0.323373573,0.036867426,0.113977564,0.477605459,0.249449547,0.122100004,0.002449583,0.011874833,0.059770507,0.10878979,0.123362525,0.18079846,0.15806982,0.204408329,0.117895423,0.03258073,0.074094922,0.182884712,329.4753405,10.19803903,0.114865328,not_threatened,0.384795711,0.299295395,0.472027103
308185-wcs,431829-1,Lagarosiphon steudneri,Lagarosiphon,steudneri,Hydrocharitaceae,correct,T,0,1,VU,T,1,low_confidence,25,2,16909,44,0,absent,absent,absent,absent,0.34264295,0.246577783,0,0,0.410779267,0.024410732,0.090055245,0.254961516,0.381174354,0.249398153,0,0,0.012631286,0.032216325,0.057132019,0.143731512,0.165088939,0.31507456,0.216518043,0.057607315,0.012631286,0.044847611,130.0346108,6.633249581,0,threatened,0.469699579,0.379630589,0.566391156
280997-wcs,988678-1,Ledebouria urceolata,Ledebouria,urceolata,Asparagaceae,correct,T,0,1,VU,T,1,confident,2600,3,18934,24,0,absent,absent,absent,absent,0.22000094,0.426337259,0,0,0.353661801,0.012696977,0.04589291,0.446265567,0.301858891,0.193285655,0,4.12E-09,0.080287149,0.137025951,0.142511116,0.132723937,0.120616414,0.199253382,0.149473885,0.038108162,0.080287153,0.217313104,137.6008721,4.898979486,0,threatened,0.696388035,0.631264174,0.756555136
