genus,species,taxon,family,prediction,category,confidence,altitude,min_alt,max_alt,mean_alt,alt_range,floristic_region_codes,data_collection_type,mean_eoo,calculation,mean_aoo,calculation.1,presence_pa,AF,AR,BA,GD,GG,GJ,HA,IL,KF,SD,SU,TU,WG,WU,total_flor_regions,prediction_binomial
Phyllopentas,tenuis,Phyllopentas tenuis,Rubiaceae,correct,VU,confident,1300-2000,1300,2000,1650,700,NA,NA,30432,text,32,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllopentas,concinna,Phyllopentas concinna,Rubiaceae,correct,EN,confident,1400-1800,1400,1800,1600,400,NA,NA,192,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimpinella,ahmarensis,Pimpinella ahmarensis,Apiaceae,correct,EN,confident,2181-2400,2181,2400,2290.5,219,NA,NA,188,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimpinella,heywoodii,Pimpinella heywoodii,Apiaceae,over,LC,confident,1400-2400,1400,2400,1900,1000,"KF, SU, SD, WG",text,53534,text,60,text,yes,not present,not present,not present,not present,not present,not present,not present,not present,present,present,present,not present,present,not present,4,1
Pimpinella,schimperi,Pimpinella schimperi,Apiaceae,correct,VU,confident,1650-2500,1650,2500,2075,850,NA,NA,107,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pimpinella,pimpinelloides,Pimpinella pimpinelloides,Apiaceae,under,EN,confident,3200-4500,3200,4500,3850,1300,GD,text,12,text,8,text,yes,not present,not present,not present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,1,0
Plantago,annua,Plantago annua,Plantaginaceae,over,NT,confident,1300-1800,1300,1800,1550,500,"BA, HA, SD",text,24486,text,20,text,yes,not present,not present,present,not present,not present,not present,present,not present,not present,present,not present,not present,not present,not present,3,1
Plicosepalus,ogadenensis,Plicosepalus ogadenensis,Loranthaceae,correct,EN,confident,500-570,500,570,535,70,NA,NA,24,text,12,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plicosepalus,robustus,Plicosepalus robustus,Loranthaceae,correct,CR,confident,1600,1600,1600,1600,0,NA,NA,4,text,4,text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poa,hedbergii,Poa hedbergii,Poaceae,over,LC,confident,3700-4300,3700,4300,4000,600,"AR, BA",text,103,text,12,text,yes,not present,present,present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,2,1
